well_name,SecY-G,Ffh,FtsY,K,Liposome_name,Liposome_conc,Mg,SecE,buffer,combo
D21,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
D22,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
D3,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
D4,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
D5,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
D6,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
D7,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
D8,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
D9,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
E1,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
E10,0.0,0.0,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,Blank
E11,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
E12,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
E13,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
E14,0.0,0.6,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,Blank
E15,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
E16,0.0,0.0,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,Blank
E17,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
E18,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
E19,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
E2,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
E20,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
E21,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
E22,0.0,0.6,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,Blank
E3,0.0,0.0,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,Blank
E4,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
E5,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
E6,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
E7,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
E8,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
E9,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
F1,0.0,0.0,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,Blank
F10,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
F11,0.0,0.6,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,Blank
F12,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
F13,0.0,0.0,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,Blank
F14,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
F15,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
F16,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
F17,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
F18,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
F19,0.0,0.6,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,Blank
F2,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
F20,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
F21,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
F22,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
F3,0.0,0.0,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,Blank
F4,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
F5,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
F6,0.0,0.6,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,Blank
F7,0.0,0.0,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,Blank
F8,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
F9,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
G1,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
G10,0.0,0.6,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,Blank
G11,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
G12,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
G13,0.0,0.0,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,Blank
G14,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
G15,0.0,0.6,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,Blank
G16,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
G17,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
G18,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
G19,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
G2,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
G20,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
G21,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
G22,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
G3,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
G4,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
G5,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
G6,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
G7,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
G8,0.0,0.6,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,Blank
G9,0.0,0.6,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,Blank
H1,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
H10,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
H11,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
H12,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
H13,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
H14,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
H15,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
H16,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
H17,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
H18,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
H19,0.0,0.0,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,Blank
H2,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
H20,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
H21,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
H22,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
H3,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
H4,0.0,0.6,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,Blank
H5,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
H6,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
H7,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
H8,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
H9,0.0,0.6,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,Blank
I1,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
I10,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
I11,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
I12,0.0,0.6,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,Blank
I13,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
I14,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
I15,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
I16,0.0,0.6,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,Blank
I17,0.0,0.0,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,Blank
I18,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
I19,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
I2,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
I20,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
I21,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
I22,0.0,0.0,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,Blank
I3,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
I4,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
I5,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
I6,0.0,0.6,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,Blank
I7,0.0,0.0,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,Blank
I8,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
I9,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
J1,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
J10,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
J11,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
J12,0.0,0.0,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,Blank
J13,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
J14,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
J15,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
J16,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
J17,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
J18,0.0,0.0,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,Blank
J19,0.0,0.0,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,Blank
J2,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
J20,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
J21,0.0,0.0,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,Blank
J22,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
J3,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
J4,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
J5,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
J6,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
J7,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
J8,0.0,0.0,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,Blank
J9,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
K1,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
K10,0.0,0.0,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,Blank
K11,0.0,0.6,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,Blank
K12,5.0,0.0,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
K13,0.0,0.6,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,Blank
K14,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
K15,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
K16,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
K17,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
K18,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
K19,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
K2,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
K20,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
K21,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
K22,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
K3,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
K4,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
K5,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
K6,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
K7,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
K8,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
K9,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
L1,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
L10,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
L11,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
L12,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
L13,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
L14,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
L15,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
L16,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
L17,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
L18,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
L19,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
L2,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
L20,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
L21,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
L22,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
L3,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
L4,0.0,0.0,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,Blank
L5,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
L6,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
L7,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
L8,5.0,0.0,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
L9,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
M1,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
M10,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
M11,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
M12,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,2.5,1.0,experiment
M13,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
M14,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
M15,5.0,0.0,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
M16,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
M17,0.0,0.0,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,Blank
M18,0.0,0.6,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,Blank
M19,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
M2,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
M20,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
M21,0.0,0.0,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,Blank
M22,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
M3,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
M4,5.0,0.6,0.0,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
M5,0.0,0.6,0.6,135.0,DOPC,3.0,15.0,5.0,1.0,Blank
M6,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
M7,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
M8,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
M9,5.0,0.6,0.0,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
N1,5.0,0.0,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
N10,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
N11,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
N12,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
N13,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
N14,5.0,0.0,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
N15,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
N16,0.0,0.6,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,Blank
N17,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
N18,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
N19,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
N2,5.0,0.0,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
N20,0.0,0.6,0.0,85.0,DOPC,3.0,25.0,0.0,1.0,Blank
N21,0.0,0.0,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,Blank
N22,0.0,0.0,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,Blank
N3,0.0,0.6,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,Blank
N4,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
N5,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
N6,5.0,0.0,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
N7,5.0,0.0,0.0,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
N8,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
N9,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
O1,5.0,0.6,0.0,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
O10,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
O11,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,5.0,1.0,experiment
O12,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
