well_name,GFP,Liposome_name,Liposome_conc,combo
H7,4.8,No Lipo,0.0,Standard
H7,4.8,No Lipo,0.0,Standard
H8,0.25,20% Ni-NTA,0.96,Standard
H8,0.25,20% Ni-NTA,0.96,Standard
H8,0.25,20% Ni-NTA,0.96,Standard
I1,0.0,5% Ni-NTA,2.04,Standard
I1,0.0,5% Ni-NTA,2.04,Standard
I1,0.0,5% Ni-NTA,2.04,Standard
I2,1.0,20% Ni-NTA,2.04,Standard
I2,1.0,20% Ni-NTA,2.04,Standard
I2,1.0,20% Ni-NTA,2.04,Standard
I3,0.0,DOPC,2.04,Standard
I3,0.0,DOPC,2.04,Standard
I3,0.0,DOPC,2.04,Standard
I4,1.0,5% Ni-NTA,3.0,Standard
I4,1.0,5% Ni-NTA,3.0,Standard
I4,1.0,5% Ni-NTA,3.0,Standard
I5,4.8,No Lipo,0.0,Standard
I5,4.8,No Lipo,0.0,Standard
I5,4.8,No Lipo,0.0,Standard
I6,1.0,DOPC,2.04,Standard
I6,1.0,DOPC,2.04,Standard
I6,1.0,DOPC,2.04,Standard
I7,0.0,20% Ni-NTA,2.04,Standard
I7,0.0,20% Ni-NTA,2.04,Standard
I7,0.0,20% Ni-NTA,2.04,Standard
J1,1.0,20% Ni-NTA,0.96,Standard
J1,1.0,20% Ni-NTA,0.96,Standard
J1,1.0,20% Ni-NTA,0.96,Standard
J2,4.8,5% Ni-NTA,0.96,Standard
J2,4.8,5% Ni-NTA,0.96,Standard
J2,4.8,5% Ni-NTA,0.96,Standard
J3,4.8,DOPC,2.04,Standard
J3,4.8,DOPC,2.04,Standard
J3,4.8,DOPC,2.04,Standard
J4,0.0,20% Ni-NTA,0.96,Standard
J4,0.0,20% Ni-NTA,0.96,Standard
J4,0.0,20% Ni-NTA,0.96,Standard
J5,1.0,No Lipo,0.0,Standard
J5,1.0,No Lipo,0.0,Standard
J5,1.0,No Lipo,0.0,Standard
J6,0.25,20% Ni-NTA,3.0,Standard
J6,0.25,20% Ni-NTA,3.0,Standard
J6,0.25,20% Ni-NTA,3.0,Standard
J7,0.0,5% Ni-NTA,0.96,Standard
J7,0.0,5% Ni-NTA,0.96,Standard
J7,0.0,5% Ni-NTA,0.96,Standard
K1,0.25,5% Ni-NTA,2.04,Standard
K1,0.25,5% Ni-NTA,2.04,Standard
K1,0.25,5% Ni-NTA,2.04,Standard
K2,1.0,5% Ni-NTA,0.96,Standard
K2,1.0,5% Ni-NTA,0.96,Standard
K2,1.0,5% Ni-NTA,0.96,Standard
K3,0.0,DOPC,0.96,Standard
K3,0.0,DOPC,0.96,Standard
K3,0.0,DOPC,0.96,Standard
K4,0.25,20% Ni-NTA,0.96,Standard
K4,0.25,20% Ni-NTA,0.96,Standard
K4,0.25,20% Ni-NTA,0.96,Standard
K5,1.0,DOPC,3.0,Standard
K5,1.0,DOPC,3.0,Standard
K5,1.0,DOPC,3.0,Standard
K6,0.25,20% Ni-NTA,2.04,Standard
K6,0.25,20% Ni-NTA,2.04,Standard
K6,0.25,20% Ni-NTA,2.04,Standard
K7,0.0,5% Ni-NTA,0.96,Standard
K7,0.0,5% Ni-NTA,0.96,Standard
K7,0.0,5% Ni-NTA,0.96,Standard
L1,0.0,5% Ni-NTA,2.04,Standard
L1,0.0,5% Ni-NTA,2.04,Standard
L1,0.0,5% Ni-NTA,2.04,Standard
L2,4.8,5% Ni-NTA,3.0,Standard
L2,4.8,5% Ni-NTA,3.0,Standard
L2,4.8,5% Ni-NTA,3.0,Standard
L3,1.0,5% Ni-NTA,0.96,Standard
L3,1.0,5% Ni-NTA,0.96,Standard
L3,1.0,5% Ni-NTA,0.96,Standard
L4,0.0,5% Ni-NTA,0.96,Standard
L4,0.0,5% Ni-NTA,0.96,Standard
L4,0.0,5% Ni-NTA,0.96,Standard
L5,4.8,20% Ni-NTA,2.04,Standard
L5,4.8,20% Ni-NTA,2.04,Standard
L5,4.8,20% Ni-NTA,2.04,Standard
L6,0.25,5% Ni-NTA,3.0,Standard
L6,0.25,5% Ni-NTA,3.0,Standard
L6,0.25,5% Ni-NTA,3.0,Standard
L7,1.0,DOPC,3.0,Standard
L7,1.0,DOPC,3.0,Standard
L7,1.0,DOPC,3.0,Standard
M1,1.0,DOPC,2.04,Standard
M1,1.0,DOPC,2.04,Standard
M1,1.0,DOPC,2.04,Standard
M2,0.0,DOPC,3.0,Standard
M2,0.0,DOPC,3.0,Standard
M2,0.0,DOPC,3.0,Standard
M3,0.25,20% Ni-NTA,2.04,Standard
M3,0.25,20% Ni-NTA,2.04,Standard
M3,0.25,20% Ni-NTA,2.04,Standard
M4,0.0,20% Ni-NTA,3.0,Standard
M4,0.0,20% Ni-NTA,3.0,Standard
M4,0.0,20% Ni-NTA,3.0,Standard
M5,1.0,20% Ni-NTA,2.04,Standard
M5,1.0,20% Ni-NTA,2.04,Standard
M5,1.0,20% Ni-NTA,2.04,Standard
M6,0.25,DOPC,0.96,Standard
M6,0.25,DOPC,0.96,Standard
M6,0.25,DOPC,0.96,Standard
M7,0.0,20% Ni-NTA,0.96,Standard
M7,0.0,20% Ni-NTA,0.96,Standard
M7,0.0,20% Ni-NTA,0.96,Standard
N1,4.8,5% Ni-NTA,0.96,Standard
N1,4.8,5% Ni-NTA,0.96,Standard
N1,4.8,5% Ni-NTA,0.96,Standard
N2,0.25,No Lipo,0.0,Standard
N2,0.25,No Lipo,0.0,Standard
N2,0.25,No Lipo,0.0,Standard
N3,1.0,20% Ni-NTA,0.96,Standard
N3,1.0,20% Ni-NTA,0.96,Standard
N3,1.0,20% Ni-NTA,0.96,Standard
N4,0.0,20% Ni-NTA,3.0,Standard
N4,0.0,20% Ni-NTA,3.0,Standard
N4,0.0,20% Ni-NTA,3.0,Standard
N5,0.0,DOPC,2.04,Standard
N5,0.0,DOPC,2.04,Standard
N5,0.0,DOPC,2.04,Standard
N6,0.25,DOPC,3.0,Standard
N6,0.25,DOPC,3.0,Standard
N6,0.25,DOPC,3.0,Standard
N7,0.25,DOPC,0.96,Standard
N7,0.25,DOPC,0.96,Standard
N7,0.25,DOPC,0.96,Standard
O1,0.0,DOPC,0.96,Standard
O1,0.0,DOPC,0.96,Standard
O1,0.0,DOPC,0.96,Standard
O2,4.8,20% Ni-NTA,0.96,Standard
O2,4.8,20% Ni-NTA,0.96,Standard
O2,4.8,20% Ni-NTA,0.96,Standard
O3,4.8,DOPC,2.04,Standard
O3,4.8,DOPC,2.04,Standard
O3,4.8,DOPC,2.04,Standard
O4,1.0,5% Ni-NTA,2.04,Standard
O4,1.0,5% Ni-NTA,2.04,Standard
O4,1.0,5% Ni-NTA,2.04,Standard
O5,1.0,20% Ni-NTA,2.04,Standard
O5,1.0,20% Ni-NTA,2.04,Standard
O5,1.0,20% Ni-NTA,2.04,Standard
O6,4.8,5% Ni-NTA,2.04,Standard
O6,4.8,5% Ni-NTA,2.04,Standard
O6,4.8,5% Ni-NTA,2.04,Standard
O7,0.0,20% Ni-NTA,0.96,Standard
O7,0.0,20% Ni-NTA,0.96,Standard
O7,0.0,20% Ni-NTA,0.96,Standard
P1,0.25,20% Ni-NTA,0.96,Standard
P1,0.25,20% Ni-NTA,0.96,Standard
P1,0.25,20% Ni-NTA,0.96,Standard
P2,4.8,DOPC,0.96,Standard
P2,4.8,DOPC,0.96,Standard
P2,4.8,DOPC,0.96,Standard
P3,0.25,No Lipo,0.0,Standard
P3,0.25,No Lipo,0.0,Standard
P3,0.25,No Lipo,0.0,Standard
P4,0.0,20% Ni-NTA,2.04,Standard
P4,0.0,20% Ni-NTA,2.04,Standard
P4,0.0,20% Ni-NTA,2.04,Standard
P5,4.8,20% Ni-NTA,3.0,Standard
P5,4.8,20% Ni-NTA,3.0,Standard
P5,4.8,20% Ni-NTA,3.0,Standard
P6,0.25,5% Ni-NTA,2.04,Standard
P6,0.25,5% Ni-NTA,2.04,Standard
P6,0.25,5% Ni-NTA,2.04,Standard
P7,0.25,20% Ni-NTA,3.0,Standard
P7,0.25,20% Ni-NTA,3.0,Standard
P7,0.25,20% Ni-NTA,3.0,Standard
