well_name,SecY-G,Liposome_name,Liposome_conc,SecE,combo,Mg,K
D6,5.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
D7,0.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
D8,1.25,DOPC,3.0,2.5,GFP1-10 1000,8,85
D9,5.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
E1,1.25,DOPC,1.5,0.0,GFP1-10 100,8,85
E10,2.5,DOPC,3.0,0.0,GFP1-10 1000,8,85
E11,1.25,DOPC,1.5,0.0,GFP1-10 250,8,85
E12,0.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
E13,5.0,DOPC,3.0,2.5,GFP1-10 250,8,85
E14,2.5,no_lipo,0.0,2.5,GFP1-10 250,8,85
E15,2.5,DOPC,3.0,0.0,GFP1-10 250,8,85
E16,1.25,DOPC,1.5,0.0,GFP1-10 500,8,85
E17,0.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
E18,5.0,DOPC,3.0,2.5,GFP1-10 500,8,85
E19,2.5,no_lipo,0.0,2.5,GFP1-10 500,8,85
E2,0.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
E20,2.5,DOPC,3.0,0.0,GFP1-10 500,8,85
E3,5.0,DOPC,3.0,2.5,GFP1-10 100,8,85
E4,2.5,no_lipo,0.0,2.5,GFP1-10 100,8,85
E5,2.5,DOPC,3.0,0.0,GFP1-10 100,8,85
E6,1.25,DOPC,1.5,0.0,GFP1-10 1000,8,85
E7,0.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
E8,5.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
E9,2.5,no_lipo,0.0,2.5,GFP1-10 1000,8,85
F1,5.0,DOPC,1.5,0.0,GFP1-10 100,8,85
F10,0.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
F11,5.0,DOPC,1.5,0.0,GFP1-10 250,8,85
F12,5.0,DOPC,1.5,2.5,GFP1-10 250,8,85
F13,0.0,DOPC,1.5,2.5,GFP1-10 250,8,85
F14,0.0,DOPC,3.0,2.5,GFP1-10 250,8,85
F15,0.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
F16,5.0,DOPC,1.5,0.0,GFP1-10 500,8,85
F17,5.0,DOPC,1.5,2.5,GFP1-10 500,8,85
F18,0.0,DOPC,1.5,2.5,GFP1-10 500,8,85
F19,0.0,DOPC,3.0,2.5,GFP1-10 500,8,85
F2,5.0,DOPC,1.5,2.5,GFP1-10 100,8,85
F20,0.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
F3,0.0,DOPC,1.5,2.5,GFP1-10 100,8,85
F4,0.0,DOPC,3.0,2.5,GFP1-10 100,8,85
F5,0.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
F6,5.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
F7,5.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
F8,0.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
F9,0.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
G1,1.25,no_lipo,0.0,2.5,GFP1-10 100,8,85
G10,5.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
G11,1.25,no_lipo,0.0,2.5,GFP1-10 250,8,85
G12,0.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
G13,2.5,DOPC,1.5,0.0,GFP1-10 250,8,85
G14,1.25,DOPC,3.0,2.5,GFP1-10 250,8,85
G15,5.0,DOPC,1.5,2.5,GFP1-10 250,8,85
G16,1.25,no_lipo,0.0,2.5,GFP1-10 500,8,85
G17,0.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
G18,2.5,DOPC,1.5,0.0,GFP1-10 500,8,85
G19,1.25,DOPC,3.0,2.5,GFP1-10 500,8,85
G2,0.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
G20,5.0,DOPC,1.5,2.5,GFP1-10 500,8,85
G3,2.5,DOPC,1.5,0.0,GFP1-10 100,8,85
G4,1.25,DOPC,3.0,2.5,GFP1-10 100,8,85
G5,5.0,DOPC,1.5,2.5,GFP1-10 100,8,85
G6,1.25,no_lipo,0.0,2.5,GFP1-10 1000,8,85
G7,0.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
G8,2.5,DOPC,1.5,0.0,GFP1-10 1000,8,85
G9,1.25,DOPC,3.0,2.5,GFP1-10 1000,8,85
H1,1.25,DOPC,1.5,2.5,GFP1-10 100,8,85
H10,0.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
H11,1.25,DOPC,1.5,2.5,GFP1-10 250,8,85
H12,1.25,DOPC,3.0,0.0,GFP1-10 250,8,85
H13,2.5,DOPC,3.0,2.5,GFP1-10 250,8,85
H14,0.0,DOPC,3.0,0.0,GFP1-10 250,8,85
H15,0.0,DOPC,1.5,2.5,GFP1-10 250,8,85
H16,1.25,DOPC,1.5,2.5,GFP1-10 500,8,85
H17,1.25,DOPC,3.0,0.0,GFP1-10 500,8,85
H18,2.5,DOPC,3.0,2.5,GFP1-10 500,8,85
H19,0.0,DOPC,3.0,0.0,GFP1-10 500,8,85
H2,1.25,DOPC,3.0,0.0,GFP1-10 100,8,85
H20,0.0,DOPC,1.5,2.5,GFP1-10 500,8,85
H3,2.5,DOPC,3.0,2.5,GFP1-10 100,8,85
H4,0.0,DOPC,3.0,0.0,GFP1-10 100,8,85
H5,0.0,DOPC,1.5,2.5,GFP1-10 100,8,85
H6,1.25,DOPC,1.5,2.5,GFP1-10 1000,8,85
H7,1.25,DOPC,3.0,0.0,GFP1-10 1000,8,85
H8,2.5,DOPC,3.0,2.5,GFP1-10 1000,8,85
H9,0.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
I1,0.0,DOPC,3.0,0.0,GFP1-10 100,8,85
I11,0.0,DOPC,3.0,0.0,GFP1-10 250,8,85
I12,2.5,no_lipo,0.0,2.5,GFP1-10 250,8,85
I13,0.0,DOPC,3.0,2.5,GFP1-10 250,8,85
I14,5.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
I16,0.0,DOPC,3.0,0.0,GFP1-10 500,8,85
I17,2.5,no_lipo,0.0,2.5,GFP1-10 500,8,85
I18,0.0,DOPC,3.0,2.5,GFP1-10 500,8,85
I19,5.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
I2,2.5,no_lipo,0.0,2.5,GFP1-10 100,8,85
I3,0.0,DOPC,3.0,2.5,GFP1-10 100,8,85
I4,5.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
I6,0.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
I7,2.5,no_lipo,0.0,2.5,GFP1-10 1000,8,85
I8,0.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
I9,5.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
J1,2.5,no_lipo,0.0,0.0,GFP1-10 100,8,85
J11,2.5,no_lipo,0.0,0.0,GFP1-10 250,8,85
J12,5.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
J13,5.0,DOPC,3.0,0.0,GFP1-10 250,8,85
J14,1.25,DOPC,1.5,2.5,GFP1-10 250,8,85
J16,2.5,no_lipo,0.0,0.0,GFP1-10 500,8,85
J17,5.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
J18,5.0,DOPC,3.0,0.0,GFP1-10 500,8,85
J19,1.25,DOPC,1.5,2.5,GFP1-10 500,8,85
J2,5.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
J3,5.0,DOPC,3.0,0.0,GFP1-10 100,8,85
J4,1.25,DOPC,1.5,2.5,GFP1-10 100,8,85
J6,2.5,no_lipo,0.0,0.0,GFP1-10 1000,8,85
J7,5.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
J8,5.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
J9,1.25,DOPC,1.5,2.5,GFP1-10 1000,8,85
K1,0.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
K11,0.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
K12,1.25,no_lipo,0.0,0.0,GFP1-10 250,8,85
K13,5.0,DOPC,1.5,0.0,GFP1-10 250,8,85
K14,5.0,DOPC,3.0,2.5,GFP1-10 250,8,85
K16,0.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
K17,1.25,no_lipo,0.0,0.0,GFP1-10 500,8,85
K18,5.0,DOPC,1.5,0.0,GFP1-10 500,8,85
K19,5.0,DOPC,3.0,2.5,GFP1-10 500,8,85
K2,1.25,no_lipo,0.0,0.0,GFP1-10 100,8,85
K3,5.0,DOPC,1.5,0.0,GFP1-10 100,8,85
K4,5.0,DOPC,3.0,2.5,GFP1-10 100,8,85
K6,0.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
K7,1.25,no_lipo,0.0,0.0,GFP1-10 1000,8,85
K8,5.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
K9,5.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
L1,1.25,no_lipo,0.0,2.5,GFP1-10 100,8,85
L11,1.25,no_lipo,0.0,2.5,GFP1-10 250,8,85
L12,1.25,DOPC,1.5,0.0,GFP1-10 250,8,85
L13,0.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
L14,2.5,no_lipo,0.0,2.5,GFP1-10 250,8,85
L16,1.25,no_lipo,0.0,2.5,GFP1-10 500,8,85
L17,1.25,DOPC,1.5,0.0,GFP1-10 500,8,85
L18,0.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
L19,2.5,no_lipo,0.0,2.5,GFP1-10 500,8,85
L2,1.25,DOPC,1.5,0.0,GFP1-10 100,8,85
L3,0.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
L4,2.5,no_lipo,0.0,2.5,GFP1-10 100,8,85
L6,1.25,no_lipo,0.0,2.5,GFP1-10 1000,8,85
L7,1.25,DOPC,1.5,0.0,GFP1-10 1000,8,85
L8,0.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
L9,2.5,no_lipo,0.0,2.5,GFP1-10 1000,8,85
M1,1.25,DOPC,3.0,2.5,GFP1-10 100,8,85
M11,1.25,DOPC,3.0,2.5,GFP1-10 250,8,85
M12,1.25,no_lipo,0.0,0.0,GFP1-10 250,8,85
M13,5.0,DOPC,3.0,0.0,GFP1-10 250,8,85
M14,0.0,DOPC,1.5,0.0,GFP1-10 250,8,85
M16,1.25,DOPC,3.0,2.5,GFP1-10 500,8,85
M17,1.25,no_lipo,0.0,0.0,GFP1-10 500,8,85
M18,5.0,DOPC,3.0,0.0,GFP1-10 500,8,85
M19,0.0,DOPC,1.5,0.0,GFP1-10 500,8,85
M2,1.25,no_lipo,0.0,0.0,GFP1-10 100,8,85
M3,5.0,DOPC,3.0,0.0,GFP1-10 100,8,85
M4,0.0,DOPC,1.5,0.0,GFP1-10 100,8,85
M6,1.25,DOPC,3.0,2.5,GFP1-10 1000,8,85
M7,1.25,no_lipo,0.0,0.0,GFP1-10 1000,8,85
M8,5.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
M9,0.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
N1,2.5,DOPC,1.5,0.0,GFP1-10 100,8,85
N11,2.5,DOPC,1.5,0.0,GFP1-10 250,8,85
N12,5.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
N13,0.0,DOPC,3.0,2.5,GFP1-10 250,8,85
N14,5.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
N16,2.5,DOPC,1.5,0.0,GFP1-10 500,8,85
N17,5.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
N18,0.0,DOPC,3.0,2.5,GFP1-10 500,8,85
N19,5.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
N2,5.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
N3,0.0,DOPC,3.0,2.5,GFP1-10 100,8,85
N4,5.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
N6,2.5,DOPC,1.5,0.0,GFP1-10 1000,8,85
N7,5.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
N8,0.0,DOPC,3.0,2.5,GFP1-10 1000,8,85
N9,5.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
O1,2.5,DOPC,3.0,2.5,GFP1-10 100,8,85
O11,2.5,DOPC,3.0,2.5,GFP1-10 250,8,85
O12,5.0,DOPC,1.5,2.5,GFP1-10 250,8,85
O13,0.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
O14,2.5,DOPC,3.0,0.0,GFP1-10 250,8,85
O16,2.5,DOPC,3.0,2.5,GFP1-10 500,8,85
O17,5.0,DOPC,1.5,2.5,GFP1-10 500,8,85
O18,0.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
O19,2.5,DOPC,3.0,0.0,GFP1-10 500,8,85
O2,5.0,DOPC,1.5,2.5,GFP1-10 100,8,85
O3,0.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
O4,2.5,DOPC,3.0,0.0,GFP1-10 100,8,85
O6,2.5,DOPC,3.0,2.5,GFP1-10 1000,8,85
O7,5.0,DOPC,1.5,2.5,GFP1-10 1000,8,85
O8,0.0,no_lipo,0.0,0.0,GFP1-10 1000,8,85
O9,2.5,DOPC,3.0,0.0,GFP1-10 1000,8,85
P1,5.0,DOPC,3.0,0.0,GFP1-10 100,8,85
P11,5.0,DOPC,3.0,0.0,GFP1-10 250,8,85
P12,1.25,DOPC,3.0,0.0,GFP1-10 250,8,85
P13,2.5,DOPC,1.5,2.5,GFP1-10 250,8,85
P14,2.5,no_lipo,0.0,0.0,GFP1-10 250,8,85
P16,5.0,DOPC,3.0,0.0,GFP1-10 500,8,85
P17,1.25,DOPC,3.0,0.0,GFP1-10 500,8,85
P18,2.5,DOPC,1.5,2.5,GFP1-10 500,8,85
P19,2.5,no_lipo,0.0,0.0,GFP1-10 500,8,85
P2,1.25,DOPC,3.0,0.0,GFP1-10 100,8,85
P3,2.5,DOPC,1.5,2.5,GFP1-10 100,8,85
P4,2.5,no_lipo,0.0,0.0,GFP1-10 100,8,85
P6,5.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
P7,1.25,DOPC,3.0,0.0,GFP1-10 1000,8,85
P8,2.5,DOPC,1.5,2.5,GFP1-10 1000,8,85
P9,2.5,no_lipo,0.0,0.0,GFP1-10 1000,8,85
