well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
D5,20,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,4,3,BL64
E2,21,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,1,4,BL64
E4,22,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,3,4,BL64
L2,23,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,1,11,BL64
H4,24,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,3,7,BL64
D1,25,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,0,3,BL64
K3,26,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,2,10,BL64
C4,27,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,3,2,BL64
P5,28,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,4,15,BL64
I2,29,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,1,8,BL64
B5,30,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,4,1,BL64
B1,31,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,0,1,BL64
F3,32,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,2,5,BL64
D6,33,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,5,3,BL64
B2,34,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,1,1,BL64
I5,35,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,4,8,BL64
F4,36,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,3,5,BL64
P1,37,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,0,15,BL64
O4,38,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,3,14,BL64
C2,39,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,1,2,BL64
D4,40,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,3,3,BL64
G3,41,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,2,6,BL64
H3,42,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,2,7,BL64
K4,43,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,3,10,BL64
H1,44,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,0,7,BL64
M2,45,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,1,12,BL64
D3,46,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,2,3,BL64
H5,47,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,4,7,BL64
E3,48,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,2,4,BL64
N4,49,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,3,13,BL64
P3,50,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,2,15,BL64
O5,51,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,4,14,BL64
J3,52,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,2,9,BL64
A1,53,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,0,0,BL64
H2,54,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,1,7,BL64
L3,55,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,2,11,BL64
P2,56,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,1,15,BL64
F5,57,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,4,5,BL64
K1,58,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,0,10,BL64
D2,59,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,1,3,BL64
J4,60,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,3,9,BL64
C5,61,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,4,2,BL64
M3,62,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,2,12,BL64
C3,63,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,2,2,BL64
L4,64,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,3,11,BL64
N2,65,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,1,13,BL64
I1,66,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,0,8,BL64
B4,67,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,3,1,BL64
J5,68,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,4,9,BL64
M1,69,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,0,12,BL64
F1,70,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,0,5,BL64
A5,71,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,4,0,BL64
M4,72,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,3,12,BL64
M5,73,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,4,12,BL64
A6,74,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,5,0,BL64
E1,75,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,0,4,BL64
I3,76,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,2,8,BL64
N5,77,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,4,13,BL64
J1,78,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,0,9,BL64
L5,79,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,4,11,BL64
P4,80,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,3,15,BL64
G5,81,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,4,6,BL64
B6,82,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,5,1,BL64
L1,83,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,0,11,BL64
K8,84,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,7,10,BL68_37
A10,85,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,9,0,BL68_37
B9,86,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,8,1,BL68_37
A8,87,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,7,0,BL68_37
G8,88,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,7,6,BL68_37
K11,89,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,10,10,BL68_37
F8,90,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,7,5,BL68_37
N9,91,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,8,13,BL68_37
J8,92,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,7,9,BL68_37
I10,93,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,9,8,BL68_37
O8,94,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,7,14,BL68_37
O9,95,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,8,14,BL68_37
C7,96,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,6,2,BL68_37
N7,97,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,6,13,BL68_37
E11,98,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,10,4,BL68_37
G7,99,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,6,6,BL68_37
C12,100,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,11,2,BL68_37
A9,101,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,8,0,BL68_37
O7,102,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,6,14,BL68_37
G10,103,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,9,6,BL68_37
D11,104,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,10,3,BL68_37
E8,105,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,7,4,BL68_37
E10,106,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,9,4,BL68_37
L8,107,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,7,11,BL68_37
H10,108,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,9,7,BL68_37
D7,109,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,6,3,BL68_37
K9,110,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,8,10,BL68_37
C10,111,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,9,2,BL68_37
P11,112,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,10,15,BL68_37
I8,113,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,7,8,BL68_37
B11,114,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,10,1,BL68_37
B7,115,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,6,1,BL68_37
F9,116,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,8,5,BL68_37
D12,117,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,11,3,BL68_37
B8,118,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,7,1,BL68_37
I11,119,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,10,8,BL68_37
F10,120,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,9,5,BL68_37
P7,121,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,6,15,BL68_37
O10,122,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,9,14,BL68_37
C8,123,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,7,2,BL68_37
D10,124,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,9,3,BL68_37
G9,125,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,8,6,BL68_37
H9,126,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,8,7,BL68_37
K10,127,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,9,10,BL68_37
H7,128,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,6,7,BL68_37
M8,129,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,7,12,BL68_37
D9,130,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,8,3,BL68_37
H11,131,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,10,7,BL68_37
E9,132,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,8,4,BL68_37
N10,133,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,9,13,BL68_37
P9,134,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,8,15,BL68_37
O11,135,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,10,14,BL68_37
J9,136,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,8,9,BL68_37
A7,137,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,6,0,BL68_37
H8,138,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,7,7,BL68_37
L9,139,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,8,11,BL68_37
P8,140,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,7,15,BL68_37
F11,141,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,10,5,BL68_37
K7,142,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,6,10,BL68_37
D8,143,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,7,3,BL68_37
J10,144,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,9,9,BL68_37
C11,145,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,10,2,BL68_37
M9,146,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,8,12,BL68_37
C9,147,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,8,2,BL68_37
L10,148,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,9,11,BL68_37
N8,149,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,7,13,BL68_37
I7,150,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,6,8,BL68_37
B10,151,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,9,1,BL68_37
J11,152,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,10,9,BL68_37
M7,153,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,6,12,BL68_37
F7,154,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,6,5,BL68_37
A11,155,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,10,0,BL68_37
M10,156,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,9,12,BL68_37
M11,157,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,10,12,BL68_37
A12,158,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,11,0,BL68_37
E7,159,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,6,4,BL68_37
I9,160,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,8,8,BL68_37
N11,161,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,10,13,BL68_37
J7,162,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,6,9,BL68_37
L11,163,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,10,11,BL68_37
P10,164,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,9,15,BL68_37
G11,165,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,10,6,BL68_37
B12,166,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,11,1,BL68_37
L7,167,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,6,11,BL68_37
K14,168,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,13,10,BL68_30
A16,169,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,15,0,BL68_30
B15,170,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,14,1,BL68_30
A14,171,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,13,0,BL68_30
G14,172,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,13,6,BL68_30
K17,173,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,16,10,BL68_30
F14,174,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,13,5,BL68_30
N15,175,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,14,13,BL68_30
J14,176,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,13,9,BL68_30
I16,177,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,15,8,BL68_30
O14,178,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,13,14,BL68_30
O15,179,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,14,14,BL68_30
C13,180,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,12,2,BL68_30
N13,181,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,12,13,BL68_30
E17,182,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,16,4,BL68_30
G13,183,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,12,6,BL68_30
C18,184,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,17,2,BL68_30
A15,185,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,14,0,BL68_30
O13,186,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,12,14,BL68_30
G16,187,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,15,6,BL68_30
D17,188,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,16,3,BL68_30
E14,189,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,13,4,BL68_30
E16,190,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,15,4,BL68_30
L14,191,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,13,11,BL68_30
H16,192,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,15,7,BL68_30
D13,193,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,12,3,BL68_30
K15,194,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,14,10,BL68_30
C16,195,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,15,2,BL68_30
P17,196,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,16,15,BL68_30
I14,197,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,13,8,BL68_30
B17,198,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,16,1,BL68_30
B13,199,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,12,1,BL68_30
F15,200,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,14,5,BL68_30
D18,201,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,17,3,BL68_30
B14,202,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,13,1,BL68_30
I17,203,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,16,8,BL68_30
F16,204,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,15,5,BL68_30
P13,205,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,12,15,BL68_30
O16,206,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,15,14,BL68_30
C14,207,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,13,2,BL68_30
D16,208,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,15,3,BL68_30
G15,209,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,14,6,BL68_30
H15,210,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,14,7,BL68_30
K16,211,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,15,10,BL68_30
H13,212,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,12,7,BL68_30
M14,213,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,13,12,BL68_30
D15,214,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,14,3,BL68_30
H17,215,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,16,7,BL68_30
E15,216,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,14,4,BL68_30
N16,217,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,15,13,BL68_30
P15,218,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,14,15,BL68_30
O17,219,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,16,14,BL68_30
J15,220,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,14,9,BL68_30
A13,221,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,12,0,BL68_30
H14,222,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,13,7,BL68_30
L15,223,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,14,11,BL68_30
P14,224,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,13,15,BL68_30
F17,225,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,16,5,BL68_30
K13,226,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,12,10,BL68_30
D14,227,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,13,3,BL68_30
J16,228,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,15,9,BL68_30
C17,229,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,16,2,BL68_30
M15,230,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,14,12,BL68_30
C15,231,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,14,2,BL68_30
L16,232,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,15,11,BL68_30
N14,233,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,13,13,BL68_30
I13,234,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,12,8,BL68_30
B16,235,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,15,1,BL68_30
J17,236,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,16,9,BL68_30
M13,237,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,12,12,BL68_30
F13,238,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,12,5,BL68_30
A17,239,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,16,0,BL68_30
M16,240,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,15,12,BL68_30
M17,241,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,16,12,BL68_30
A18,242,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,17,0,BL68_30
E13,243,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,12,4,BL68_30
I15,244,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,14,8,BL68_30
N17,245,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,16,13,BL68_30
J13,246,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,12,9,BL68_30
L17,247,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,16,11,BL68_30
P16,248,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,15,15,BL68_30
G17,249,18,deGFP,5,no_lipo,3,14,0.0,85,0,0,4,0,1,16,6,BL68_30
B18,250,19,deGFP,5,no_lipo,3,14,0.0,85,2,0,4,0,1,17,1,BL68_30
L13,251,20,deGFP,5,no_lipo,3,8,0.0,85,2,0,4,0,1,12,11,BL68_30
K20,252,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,19,10,BL68
A22,253,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,21,0,BL68
B21,254,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,20,1,BL68
A20,255,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,19,0,BL68
G20,256,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,19,6,BL68
K23,257,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,22,10,BL68
F20,258,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,19,5,BL68
N21,259,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,20,13,BL68
J20,260,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,19,9,BL68
I22,261,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,21,8,BL68
O20,262,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,19,14,BL68
O21,263,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,20,14,BL68
C19,264,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,18,2,BL68
N19,265,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,18,13,BL68
E23,266,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,22,4,BL68
G19,267,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,18,6,BL68
C24,268,16,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,23,2,BL68
A21,269,17,Cat,5,no_lipo,3,20,1.25,185,2,0,4,0,1,20,0,BL68
O19,270,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,18,14,BL68
G22,271,1,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,21,6,BL68
D23,272,2,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,22,3,BL68
E20,273,3,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,19,4,BL68
E22,274,4,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,21,4,BL68
L20,275,5,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,19,11,BL68
H22,276,6,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,21,7,BL68
D19,277,7,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,18,3,BL68
K21,278,8,Cat,5,DOPC,3,20,1.25,185,2,0,4,0,1,20,10,BL68
C22,279,9,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,21,2,BL68
P23,280,10,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,22,15,BL68
I20,281,11,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,19,8,BL68
B23,282,12,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,22,1,BL68
B19,283,13,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,18,1,BL68
F21,284,14,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,20,5,BL68
D24,285,15,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,23,3,BL68
