well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,combo
I12,Glut,5.0,135.0,no_lipo,0.0,20.0,0.0,Experiment
I13,AqpZ,5.0,135.0,no_lipo,0.0,15.0,0.0,Control
I2,Glut,5.0,135.0,no_lipo,0.0,25.0,1.0,Experiment
I3,Glut,5.0,135.0,DOPC,3.0,25.0,0.5,Experiment
I4,Glut,5.0,135.0,no_lipo,0.0,15.0,0.5,Experiment
I5,Glut,5.0,110.0,DOPC,3.0,15.0,0.0,Experiment
I6,Glut,5.0,135.0,no_lipo,0.0,15.0,0.0,Experiment
I7,Glut,5.0,110.0,DOPC,3.0,15.0,0.0,Experiment
I8,Glut,5.0,85.0,DOPC,3.0,25.0,0.5,Experiment
I9,AqpZ,5.0,85.0,no_lipo,0.0,25.0,0.0,Control
J1,Glut,5.0,85.0,DOPC,3.0,20.0,0.5,Experiment
J10,Glut,5.0,110.0,DOPC,3.0,25.0,0.5,Experiment
J11,AqpZ,5.0,135.0,DOPC,3.0,25.0,1.0,Control
J12,Glut,5.0,110.0,no_lipo,0.0,15.0,0.5,Experiment
J13,Glut,5.0,135.0,no_lipo,0.0,20.0,0.5,Experiment
J2,Glut,5.0,85.0,no_lipo,0.0,25.0,0.5,Experiment
J3,Glut,5.0,110.0,no_lipo,0.0,20.0,0.5,Experiment
J4,Glut,5.0,85.0,DOPC,3.0,15.0,0.0,Experiment
J5,Glut,5.0,135.0,DOPC,3.0,15.0,1.0,Experiment
J6,Glut,5.0,85.0,no_lipo,0.0,15.0,0.0,Experiment
J7,Glut,5.0,110.0,no_lipo,0.0,15.0,1.0,Experiment
J8,AqpZ,5.0,135.0,no_lipo,0.0,25.0,0.0,Control
J9,Glut,5.0,85.0,DOPC,3.0,25.0,0.0,Experiment
K1,Glut,5.0,85.0,DOPC,3.0,25.0,0.5,Experiment
K10,Glut,5.0,110.0,no_lipo,0.0,15.0,0.0,Experiment
K11,Glut,5.0,110.0,DOPC,3.0,25.0,1.0,Experiment
K12,AqpZ,5.0,85.0,no_lipo,0.0,15.0,1.0,Control
K13,Glut,5.0,85.0,no_lipo,0.0,15.0,0.5,Experiment
K2,AqpZ,5.0,85.0,no_lipo,0.0,25.0,1.0,Control
K3,Glut,5.0,85.0,no_lipo,0.0,15.0,1.0,Experiment
K4,Glut,5.0,110.0,DOPC,3.0,20.0,0.0,Experiment
K5,Glut,5.0,85.0,DOPC,3.0,15.0,0.5,Experiment
K6,AqpZ,5.0,135.0,no_lipo,0.0,15.0,1.0,Control
K7,AqpZ,5.0,135.0,DOPC,3.0,15.0,1.0,Control
K8,Glut,5.0,135.0,no_lipo,0.0,15.0,0.5,Experiment
K9,Glut,5.0,85.0,DOPC,3.0,15.0,1.0,Experiment
L1,Glut,5.0,135.0,DOPC,3.0,15.0,0.0,Experiment
L10,Glut,5.0,135.0,no_lipo,0.0,25.0,0.0,Experiment
L11,Glut,5.0,110.0,no_lipo,0.0,15.0,1.0,Experiment
L12,Glut,5.0,110.0,DOPC,3.0,20.0,1.0,Experiment
L13,Glut,5.0,85.0,no_lipo,0.0,15.0,0.0,Experiment
L2,AqpZ,5.0,85.0,no_lipo,0.0,25.0,1.0,Control
L3,AqpZ,5.0,85.0,DOPC,3.0,25.0,1.0,Control
L4,Glut,5.0,135.0,no_lipo,0.0,15.0,1.0,Experiment
L5,Glut,5.0,110.0,no_lipo,0.0,15.0,0.5,Experiment
L6,Glut,5.0,85.0,DOPC,3.0,20.0,1.0,Experiment
L7,AqpZ,5.0,85.0,no_lipo,0.0,25.0,1.0,Control
L8,Glut,5.0,110.0,no_lipo,0.0,25.0,1.0,Experiment
L9,Glut,5.0,110.0,no_lipo,0.0,25.0,0.0,Experiment
M1,AqpZ,5.0,135.0,DOPC,3.0,25.0,0.0,Control
M10,Glut,5.0,85.0,no_lipo,0.0,25.0,1.0,Experiment
M11,Glut,5.0,110.0,DOPC,3.0,20.0,1.0,Experiment
M12,Glut,5.0,135.0,DOPC,3.0,15.0,1.0,Experiment
M13,Glut,5.0,135.0,DOPC,3.0,20.0,0.0,Experiment
M2,Glut,5.0,85.0,DOPC,3.0,25.0,1.0,Experiment
M3,Glut,5.0,135.0,no_lipo,0.0,25.0,1.0,Experiment
M4,Glut,5.0,110.0,DOPC,3.0,15.0,1.0,Experiment
M5,Glut,5.0,135.0,DOPC,3.0,25.0,1.0,Experiment
M6,Glut,5.0,85.0,DOPC,3.0,25.0,0.0,Experiment
M7,AqpZ,5.0,85.0,DOPC,3.0,25.0,1.0,Control
M8,Glut,5.0,85.0,DOPC,3.0,20.0,0.5,Experiment
M9,Glut,5.0,85.0,no_lipo,0.0,20.0,1.0,Experiment
N1,Glut,5.0,85.0,DOPC,3.0,20.0,0.0,Experiment
N10,Glut,5.0,135.0,DOPC,3.0,25.0,1.0,Experiment
N11,Glut,5.0,85.0,no_lipo,0.0,15.0,1.0,Experiment
N12,Glut,5.0,85.0,DOPC,3.0,20.0,1.0,Experiment
N13,Glut,5.0,110.0,DOPC,3.0,15.0,1.0,Experiment
N2,AqpZ,5.0,135.0,no_lipo,0.0,25.0,0.0,Control
N3,AqpZ,5.0,135.0,DOPC,3.0,25.0,1.0,Control
N4,Glut,5.0,110.0,no_lipo,0.0,20.0,1.0,Experiment
N5,Glut,5.0,135.0,DOPC,3.0,15.0,0.5,Experiment
N6,AqpZ,5.0,85.0,no_lipo,0.0,15.0,0.0,Control
N7,Glut,5.0,135.0,no_lipo,0.0,25.0,0.5,Experiment
N8,Glut,5.0,135.0,no_lipo,0.0,15.0,0.0,Experiment
N9,Glut,5.0,135.0,no_lipo,0.0,20.0,1.0,Experiment
O1,Glut,5.0,85.0,no_lipo,0.0,20.0,1.0,Experiment
O10,Glut,5.0,135.0,no_lipo,0.0,15.0,1.0,Experiment
O11,AqpZ,5.0,135.0,DOPC,3.0,25.0,0.0,Control
O12,Glut,5.0,110.0,DOPC,3.0,20.0,0.5,Experiment
O13,Glut,5.0,110.0,DOPC,3.0,25.0,0.5,Experiment
O2,AqpZ,5.0,85.0,no_lipo,0.0,15.0,1.0,Control
O3,Glut,5.0,85.0,DOPC,3.0,15.0,0.0,Experiment
O4,Glut,5.0,110.0,no_lipo,0.0,20.0,0.0,Experiment
O5,Glut,5.0,135.0,DOPC,3.0,15.0,0.0,Experiment
O6,Glut,5.0,135.0,DOPC,3.0,25.0,0.0,Experiment
O7,Glut,5.0,110.0,no_lipo,0.0,25.0,0.0,Experiment
O8,Glut,5.0,110.0,no_lipo,0.0,20.0,0.0,Experiment
O9,AqpZ,5.0,85.0,DOPC,3.0,15.0,0.0,Control
P1,Glut,5.0,110.0,DOPC,3.0,25.0,1.0,Experiment
P10,Glut,5.0,110.0,no_lipo,0.0,15.0,0.0,Experiment
P11,Glut,5.0,110.0,DOPC,3.0,15.0,1.0,Experiment
P12,Glut,5.0,85.0,DOPC,3.0,25.0,0.0,Experiment
P13,AqpZ,5.0,135.0,DOPC,3.0,25.0,1.0,Control
P2,AqpZ,5.0,85.0,no_lipo,0.0,25.0,0.0,Control
P3,AqpZ,5.0,85.0,DOPC,3.0,25.0,1.0,Control
P4,Glut,5.0,110.0,DOPC,3.0,25.0,0.0,Experiment
P5,AqpZ,5.0,85.0,DOPC,3.0,25.0,0.0,Control
P6,Glut,5.0,85.0,DOPC,3.0,15.0,0.0,Experiment
P7,AqpZ,5.0,85.0,DOPC,3.0,15.0,1.0,Control
P8,Glut,5.0,85.0,no_lipo,0.0,15.0,0.0,Experiment
P9,Glut,5.0,85.0,no_lipo,0.0,20.0,0.5,Experiment
